"taxon_name","original_text","description","form","stem","leaf","flower","fruit","seed","root"
"Leiocarpa","Perennial herbs with glandular and/or cottony hairs. Leaves cauline, sessile, alternate, entire. Capitula solitary, terminal, pedunculate, hemispherical to turbinate; involucral bracts 2–5-seriate, equal or outer shorter, scarious, herbaceous or cartilaginous, with a narrow scarious margin; receptacle convex or conical, naked. Florets numerous, bisexual or the outer female, yellow or white; corolla deeply 5-lobed (3 or 4 in female); anthers tailed at base; style branches linear with truncate to rounded apices. Cypselas terete or somewhat compressed, with 2–4 ribs, not beaked, smooth or sparsely glandular with a few minute unicellular hairs. Pappus 1-seriate, of basally connate barbellate bristles, plumose or subplumose at apex, persistent, sometimes fewer or absent in female florets.","perennial herbs with glandular and/or cottony hairs. leaves cauline, sessile, alternate, entire. capitula solitary, terminal, pedunculate, hemispherical to turbinate; involucral bracts 2–5-seriate, equal or outer shorter, scarious, herbaceous or cartilaginous, with a narrow scarious margin; receptacle convex or conical, naked. florets numerous, bisexual or the outer female, yellow or white; corolla deeply 5-lobed (3 or 4 in female); anthers tailed at base; style branches linear with truncate to rounded apices. cypselas terete or somewhat compressed, with 2–4 ribs, not beaked, smooth or sparsely glandular with a few minute unicellular hairs. pappus 1-seriate, of basally connate barbellate bristles, plumose or subplumose at apex, persistent, sometimes fewer or absent in female florets.","perennial herbs with glandular and/or cottony hairs.",,"leaves cauline, sessile, alternate, entire.","capitula solitary, terminal, pedunculate, hemispherical to turbinate; involucral bracts 2–5-seriate, equal or outer shorter, scarious, herbaceous or cartilaginous, with a narrow scarious margin; receptacle convex or conical, naked. florets numerous, bisexual or the outer female, yellow or white; corolla deeply 5-lobed (3 or 4 in female); anthers tailed at base; style branches linear with truncate to rounded apices. pappus 1-seriate, of basally connate barbellate bristles, plumose or subplumose at apex, persistent, sometimes fewer or absent in female florets.","cypselas terete or somewhat compressed, with 2–4 ribs, not beaked, smooth or sparsely glandular with a few minute unicellular hairs.",,
"Austrostipa eremophila","Tufted perennial, culms erect, to 0.9 m high, nodes densely sericeous. Leaves glabrous to finely pubescent; blade mostly tightly inrolled to 30 cm long, 1.5–4 mm wide when unrolled; ligule minutely hairy abaxially, 0.5–1.5 mm long, auricles of sheath erect, to 2 mm long. Inflorescence a slender, usually dense panicle to 30 cm long. Glumes 14–23 mm long, usually purplish, narrow, acuminate, thinly membranous throughout, the lower longer by 2–5 mm than upper; lemma evenly tapered to base, slightly to distinctly constricted near the apex, 6–9 mm long, maturing to a deep golden brown, antrorsely scabrous near the apex, otherwise smooth, densely covered with appressed, shining, golden hairs, with a conspicuous patch below the apex which is either glabrous or sparsely covered by much shorter hairs, coma erect with hairs not or hardly longer than those of the body of the lemma; callus 2–4 mm long; awn twice bent, 5–10 cm long, 7–16 mm to the first bend, column shortly pubescent to almost glabrous; palea about equal to lemma, densely silky-hairy along the centre line. Flowers Sep.–Nov.","tufted perennial, culms erect, to 0.9 m high, nodes densely sericeous. leaves glabrous to finely pubescent; blade mostly tightly inrolled to 30 cm long, 1.5–4 mm wide when unrolled; ligule minutely hairy abaxially, 0.5–1.5 mm long, auricles of sheath erect, to 2 mm long. inflorescence a slender, usually dense panicle to 30 cm long. glumes 14–23 mm long, usually purplish, narrow, acuminate, thinly membranous throughout, the lower longer by 2–5 mm than upper; lemma evenly tapered to base, slightly to distinctly constricted near the apex, 6–9 mm long, maturing to a deep golden brown, antrorsely scabrous near the apex, otherwise smooth, densely covered with appressed, shining, golden hairs, with a conspicuous patch below the apex which is either glabrous or sparsely covered by much shorter hairs, coma erect with hairs not or hardly longer than those of the body of the lemma; callus 2–4 mm long; awn twice bent, 5–10 cm long, 7–16 mm to the first bend, column shortly pubescent to almost glabrous; palea about equal to lemma, densely silky-hairy along the centre line. flowers sep.–nov.","tufted perennial, culms erect, to 0.9 m high, nodes densely sericeous.",,"leaves glabrous to finely pubescent; blade mostly tightly inrolled to 30 cm long, 1.5–4 mm wide when unrolled; ligule minutely hairy abaxially, 0.5–1.5 mm long, auricles of sheath erect, to 2 mm long.","inflorescence a slender, usually dense panicle to 30 cm long. glumes 14–23 mm long, usually purplish, narrow, acuminate, thinly membranous throughout, the lower longer by 2–5 mm than upper; flowers sep.–nov.","lemma evenly tapered to base, slightly to distinctly constricted near the apex, 6–9 mm long, maturing to a deep golden brown, antrorsely scabrous near the apex, otherwise smooth, densely covered with appressed, shining, golden hairs, with a conspicuous patch below the apex which is either glabrous or sparsely covered by much shorter hairs, coma erect with hairs not or hardly longer than those of the body of the lemma; callus 2–4 mm long; awn twice bent, 5–10 cm long, 7–16 mm to the first bend, column shortly pubescent to almost glabrous; palea about equal to lemma, densely silky-hairy along the centre line.",,
"Carex alsophila","Rhizome short; shoots densely tufted. Culms erect, triquetrous, smooth or scabrous, 30–45 cm long, 1.5–2.5 mm diam. Leaves exceeding culms, to 10 mm wide, septate-nodulose (obvious when dried); sheath pale brown, often tinged red-brown; ligule acute. Inflorescence narrow, erect, 17–20 cm long, with spikes solitary at nodes; lowest involucral bracts exceeding inflorescence. Spikes sessile or short-pedunculate, distant, erect to spreading at maturity, 3–5 cm long; upper 1–4 spikes entirely male or rarely uppermost spike with female flowers above; lower spikes entirely female or with male flowers above; male glumes obtuse, hyaline and erose, pale brown, often tinged red-brown; female glumes acuminate to obtuse, often shortly mucronate, green tinged red-brown, with irregularly hyaline margins, 4–6 mm long; utricles 4–6 mm long, 1.5–2 mm diam., ovoid, strongly but irregularly few-nerved, glabrous, green, with beak 0.7–1.5 mm long, with apex notched or bifid and often minutely hispid; style 3-fid. Nut obovoid, trigonous, pale yellow. Flowers summer.","rhizome short; shoots densely tufted. culms erect, triquetrous, smooth or scabrous, 30–45 cm long, 1.5–2.5 mm diam. leaves exceeding culms, to 10 mm wide, septate-nodulose (obvious when dried); sheath pale brown, often tinged red-brown; ligule acute. inflorescence narrow, erect, 17–20 cm long, with spikes solitary at nodes; lowest involucral bracts exceeding inflorescence. spikes sessile or short-pedunculate, distant, erect to spreading at maturity, 3–5 cm long; upper 1–4 spikes entirely male or rarely uppermost spike with female flowers above; lower spikes entirely female or with male flowers above; male glumes obtuse, hyaline and erose, pale brown, often tinged red-brown; female glumes acuminate to obtuse, often shortly mucronate, green tinged red-brown, with irregularly hyaline margins, 4–6 mm long; utricles 4–6 mm long, 1.5–2 mm diam., ovoid, strongly but irregularly few-nerved, glabrous, green, with beak 0.7–1.5 mm long, with apex notched or bifid and often minutely hispid; style 3-fid. nut obovoid, trigonous, pale yellow. flowers summer.",,"shoots densely tufted. culms erect, triquetrous, smooth or scabrous, 30–45 cm long, 1.5–2.5 mm diam.","leaves exceeding culms, to 10 mm wide, septate-nodulose (obvious when dried); sheath pale brown, often tinged red-brown; ligule acute.","inflorescence narrow, erect, 17–20 cm long, with spikes solitary at nodes; lowest involucral bracts exceeding inflorescence. spikes sessile or short-pedunculate, distant, erect to spreading at maturity, 3–5 cm long; upper 1–4 spikes entirely male or rarely uppermost spike with female flowers above; lower spikes entirely female or with male flowers above; male glumes obtuse, hyaline and erose, pale brown, often tinged red-brown; female glumes acuminate to obtuse, often shortly mucronate, green tinged red-brown, with irregularly hyaline margins, 4–6 mm long; utricles 4–6 mm long, 1.5–2 mm diam., ovoid, strongly but irregularly few-nerved, glabrous, green, with beak 0.7–1.5 mm long, with apex notched or bifid and often minutely hispid; style 3-fid. flowers summer.","nut obovoid, trigonous, pale yellow.",,"rhizome short;"
"Diuris tricolor","Flowering plant usually 20–40 cm tall, slender to moderately stout. Leaves 1–3, linear, channelled, 20–30 cm long. Flowers 2–6, erect, yellow to orange with white and purplish suffusions; dorsal sepal obliquely erect, broadly ovate, 10–15 mm long; lateral sepals deflexed, usually parallel, narrow-linear, greatly exceeding petals, 30–65 mm long; petals obliquely erect or recurved, ovate to elliptic, tapering to base, 13–21 mm long. Labellum 3-lobed from base, 8–12 mm long; lateral lobes erect, less than half as long as mid-lobe, oblong, margins crenulate; mid-lobe keeled, shortly clawed, ovate, margins irregular, with 2 longitudinal white and purplish ridges from the base ending in tooth-like processes less than midway along lamina. Column narrowly winged. Flowers Sep.–Nov.","floweringplant usually 20–40 cm tall, slender to moderately stout. leaves 1–3, linear, channelled, 20–30 cm long. flowers 2–6, erect, yellow to orange with white and purplish suffusions; dorsal sepal obliquely erect, broadly ovate, 10–15 mm long; lateral sepals deflexed, usually parallel, narrow-linear, greatly exceeding petals, 30–65 mm long; petals obliquely erect or recurved, ovate to elliptic, tapering to base, 13–21 mm long. labellum 3-lobed from base, 8–12 mm long; lateral lobes erect, less than half as long as mid-lobe, oblong, margins crenulate; mid-lobe keeled, shortly clawed, ovate, margins irregular, with 2 longitudinal white and purplish ridges from the base ending in tooth-like processes less than midway along lamina. column narrowly winged. flowers sep.–nov.","floweringplant usually 20–40 cm tall, slender to moderately stout.",,"leaves 1–3, linear, channelled, 20–30 cm long. mid-lobe keeled, shortly clawed, ovate, margins irregular, with 2 longitudinal white and purplish ridges from the base ending in tooth-like processes less than midway along lamina. column narrowly winged.","flowers 2–6, erect, yellow to orange with white and purplish suffusions; dorsal sepal obliquely erect, broadly ovate, 10–15 mm long; lateral sepals deflexed, usually parallel, narrow-linear, greatly exceeding petals, 30–65 mm long; petals obliquely erect or recurved, ovate to elliptic, tapering to base, 13–21 mm long. labellum 3-lobed from base, 8–12 mm long; lateral lobes erect, less than half as long as mid-lobe, oblong, margins crenulate; flowers sep.–nov.",,,
"Stackhousia aspericocca subsp. 1","Glabrous non-rhizomatous perennial to 70 cm high; stems several-many, erect or ascending, usually with some branching or at least axillary vegetative buds in upper parts. Leaves thin to rather thick, narrow-linear to lanceolate, rarely broad-elliptic, 8–15(–35) mm long, 1–2.5(–3.5) mm wide. Inflorescence a dense cylindric spike; flowers solitary at nodes, oriented all around the axis, each subtended by a bract and 2 bracteoles, all acute to acuminate, bracts c. 1–2 times as long as calyx, bracteoles conspicuous, c. half as long as bract, green. Hypanthium 0.7–1.3 mm long; sepals 1.1–2.2 mm long; corolla cream, rarely yellow, tube 5–8 mm long, lobes 2.8–5.6 mm long; gynoecium 3-partite. Mericarps usually 3, obovoid to narrow-ellipsoid, 1.9–2.5 mm long, rugose to reticulate, minutely asperate or glabrescent; basal cavity shallow. Flowers mainly Aug.–Dec.","glabrous non-rhizomatous perennial to 70 cm high; stems several-many, erect or ascending, usually with some branching or at least axillary vegetative buds in upper parts. leaves thin to rather thick, narrow-linear to lanceolate, rarely broad-elliptic, 8–15(–35) mm long, 1–2.5(–3.5) mm wide. inflorescence a dense cylindric spike; flowers solitary at nodes, oriented all around the axis, each subtended by a bract and 2 bracteoles, all acute to acuminate, bracts circa 1–2 times as long as calyx, bracteoles conspicuous, circa half as long as bract, green. hypanthium 0.7–1.3 mm long; sepals 1.1–2.2 mm long; corolla cream, rarely yellow, tube 5–8 mm long, lobes 2.8–5.6 mm long; gynoecium 3-partite. mericarps usually 3, obovoid to narrow-ellipsoid, 1.9–2.5 mm long, rugose to reticulate, minutely asperate or glabrescent; basal cavity shallow. flowers mainly aug.–dec.","glabrous non-rhizomatous perennial to 70 cm high;","stems several-many, erect or ascending, usually with some branching or at least axillary vegetative buds in upper parts.","leaves thin to rather thick, narrow-linear to lanceolate, rarely broad-elliptic, 8–15(–35) mm long, 1–2.5(–3.5) mm wide.","inflorescence a dense cylindric spike; flowers solitary at nodes, oriented all around the axis, each subtended by a bract and 2 bracteoles, all acute to acuminate, bracts circa 1–2 times as long as calyx, bracteoles conspicuous, circa half as long as bract, green. hypanthium 0.7–1.3 mm long; sepals 1.1–2.2 mm long; corolla cream, rarely yellow, tube 5–8 mm long, lobes 2.8–5.6 mm long; gynoecium 3-partite. mericarps usually 3, obovoid to narrow-ellipsoid, 1.9–2.5 mm long, rugose to reticulate, minutely asperate or glabrescent; basal cavity shallow. flowers mainly aug.–dec.",,,
"Salix Ã—mollissima","Spreading shrub to 5 m high; bark greyish, smooth, sometimes flaking; twigs subglabrous or glabrescent, lustrous, olive-brown, often initially angled, moderately fragile; buds brown, puberulous. Leaves lanceolate or linear-lanceolate, (4–)8–13 cm long, 1–1.5 cm wide, at first pubescent, soon becoming glabrous, dark shining green above, paler below and puberulous; apex long acuminate; base narrowly cuneate; margins entire or minutely glandular-serrate; stipules persistent, asymmetrically subulate-lanceolate, margins finely serrate or entire, upper surface with scattered sessile glands. Catkins 3–4 cm long, produced on short leafy lateral shoots, spreading or erect; male catkins cylindric, c. 1 cm wide, sometimes with scattered female flowers; stamens 2 or 3, filaments free; female catkins narrowly cylindrical, up to c. 5 mm wide; catkin-scales shorter than ovary; ovary flask-shaped, stalked, pubescent, sometimes becoming sparsely hairy with age. Flowers spring.","spreading shrub to 5 m high; bark greyish, smooth, sometimes flaking; twigs subglabrous or glabrescent, lustrous, olive-brown, often initially angled, moderately fragile; buds brown, puberulous. leaves lanceolate or linear-lanceolate, (4–)8–13 cm long, 1–1.5 cm wide, at first pubescent, soon becoming glabrous, dark shining green above, paler below and puberulous; apex long acuminate; base narrowly cuneate; margins entire or minutely glandular-serrate; stipules persistent, asymmetrically subulate-lanceolate, margins finely serrate or entire, upper surface with scattered sessile glands. catkins 3–4 cm long, produced on short leafy lateral shoots, spreading or erect; male catkins cylindric, circa 1 cm wide, sometimes with scattered female flowers; stamens 2 or 3, filaments free; female catkins narrowly cylindrical, up to circa 5 mm wide; catkin-scales shorter than ovary; ovary flask-shaped, stalked, pubescent, sometimes becoming sparsely hairy with age. flowers spring.","spreading shrub to 5 m high;","bark greyish, smooth, sometimes flaking; twigs subglabrous or glabrescent, lustrous, olive-brown, often initially angled, moderately fragile; buds brown, puberulous. stipules persistent, asymmetrically subulate-lanceolate, margins finely serrate or entire, upper surface with scattered sessile glands.","leaves lanceolate or linear-lanceolate, (4–)8–13 cm long, 1–1.5 cm wide, at first pubescent, soon becoming glabrous, dark shining green above, paler below and puberulous; apex long acuminate; base narrowly cuneate; margins entire or minutely glandular-serrate;","catkins 3–4 cm long, produced on short leafy lateral shoots, spreading or erect; male catkins cylindric, circa 1 cm wide, sometimes with scattered female flowers; stamens 2 or 3, filaments free; female catkins narrowly cylindrical, up to circa 5 mm wide; catkin-scales shorter than ovary; ovary flask-shaped, stalked, pubescent, sometimes becoming sparsely hairy with age. flowers spring.",,,
"Fimbristylis dichotoma","Tufted perennial with very short rhizome. Culms slender to rather stout, compressed, 10–75(–100) cm high, 1–2 mm diam. Leaves from much shorter than to equalling culms, 1.5–5 mm wide; ligule a dense fringe of short hairs or absent. Inflorescence simple to compound, with few to numerous spikelets, solitary or clustered, on branches to 10 cm long; involucral bracts leaf-like, 1–3 much shorter to somewhat longer than inflorescence. Spikelets ovoid, terete, acute, 4–10(–20) mm long, 2.5–3(–5) mm diam; glumes papery, obtuse, often shortly mucronate, glabrous, with faint, 3-nerved keel and nerveless or obscurely few-nerved sides, orange-brown, 2–4.5 mm long; stamens 1–3; anthers 1.3–2 mm long; style 2-fid, ciliate at least above. Nut biconvex, obovoid or broad-obovoid, shortly stipitate, smooth or sparsely and minutely verrucose, conspicuously trabeculate by 5–10 (rarely more) longitudinal ribs on each face and numerous cross-bars, glistening white to pale yellow, rarely yellow-brown, with epidermal cells transversely elliptic to oblong, 0.7–1.3 mm long, 0.6–1 mm diam. Flowers spring–summer.","tufted perennial with very short rhizome. culms slender to rather stout, compressed, 10–75(–100) cm high, 1–2 mm diam. leaves from much shorter than to equalling culms, 1.5–5 mm wide; ligule a dense fringe of short hairs or absent. inflorescence simple to compound, with few to numerous spikelets, solitary or clustered, on branches to 10 cm long; involucral bracts leaf-like, 1–3 much shorter to somewhat longer than inflorescence. spikelets ovoid, terete, acute, 4–10(–20) mm long, 2.5–3(–5) mm diam; glumes papery, obtuse, often shortly mucronate, glabrous, with faint, 3-nerved keel and nerveless or obscurely few-nerved sides, orange-brown, 2–4.5 mm long; stamens 1–3; anthers 1.3–2 mm long; style 2-fid, ciliate at least above. nut biconvex, obovoid or broad-obovoid, shortly stipitate, smooth or sparsely and minutely verrucose, conspicuously trabeculate by 5–10 (rarely more) longitudinal ribs on each face and numerous cross-bars, glistening white to pale yellow, rarely yellow-brown, with epidermal cells transversely elliptic to oblong, 0.7–1.3 mm long, 0.6–1 mm diam. flowers spring–summer.","tufted perennial with very short rhizome.","culms slender to rather stout, compressed, 10–75(–100) cm high, 1–2 mm diam.","leaves from much shorter than to equalling culms, 1.5–5 mm wide; ligule a dense fringe of short hairs or absent.","inflorescence simple to compound, with few to numerous spikelets, solitary or clustered, on branches to 10 cm long; involucral bracts leaf-like, 1–3 much shorter to somewhat longer than inflorescence. spikelets ovoid, terete, acute, 4–10(–20) mm long, 2.5–3(–5) mm diam; glumes papery, obtuse, often shortly mucronate, glabrous, with faint, 3-nerved keel and nerveless or obscurely few-nerved sides, orange-brown, 2–4.5 mm long; stamens 1–3; anthers 1.3–2 mm long; style 2-fid, ciliate at least above. flowers spring–summer.","nut biconvex, obovoid or broad-obovoid, shortly stipitate, smooth or sparsely and minutely verrucose, conspicuously trabeculate by 5–10 (rarely more) longitudinal ribs on each face and numerous cross-bars, glistening white to pale yellow, rarely yellow-brown, with epidermal cells transversely elliptic to oblong, 0.7–1.3 mm long, 0.6–1 mm diam.",,
"Cupressus","Erect monoecious trees or shrubs to 30 m high. Ultimate branches often flat, in 2-dimensional sprays. Leaves scale-like, decussate, completely enclosing ultimate branches, often with a resin gland near tip on abaxial surface, ultimate leaf segments usually dimorphic. Male cones terminal, solitary, sporophylls in 3–10 decussate pairs, scales imbricate, 2–6 sporangia per sporophyll. Female cones terminal, solitary, ±globular, woody, maturing in the second year; scales decussate, in 4–6 pairs, valvate, peltate; apex of scales with a short mucro. Seeds flattened, ridged, with narrow lateral wings; borne on scales, 3–20 per scale. Cotyledons 2, often with 2 alternating leaves developing at the same level.","erect monoecious trees or shrubs to 30 m high. ultimate branches often flat, in 2-dimensional sprays. leaves scale-like, decussate, completely enclosing ultimate branches, often with a resin gland near tip on abaxial surface, ultimate leaf segments usually dimorphic. male cones terminal, solitary, sporophylls in 3–10 decussate pairs, scales imbricate, 2–6 sporangia per sporophyll. female cones terminal, solitary, ±globular, woody, maturing in the second year; scales decussate, in 4–6 pairs, valvate, peltate; apex of scales with a short mucro. seeds flattened, ridged, with narrow lateral wings; borne on scales, 3–20 per scale. cotyledons 2, often with 2 alternating leaves developing at the same level.","erect monoecious trees or shrubs to 30 m high.","ultimate branches often flat, in 2-dimensional sprays.","leaves scale-like, decussate, completely enclosing ultimate branches, often with a resin gland near tip on abaxial surface, ultimate leaf segments usually dimorphic. cotyledons 2, often with 2 alternating leaves developing at the same level.",,"male cones terminal, solitary, sporophylls in 3–10 decussate pairs, scales imbricate, 2–6 sporangia per sporophyll. female cones terminal, solitary, ±globular, woody, maturing in the second year; scales decussate, in 4–6 pairs, valvate, peltate; apex of scales with a short mucro.","seeds flattened, ridged, with narrow lateral wings; borne on scales, 3–20 per scale.",
"Gratiola nana","Prostrate mat-forming perennial, rooting at nodes, with sessile glands obscure or sporadically with golden heads, otherwise mainly on the rachis; pedicels and sepals glabrous or sparsely to moderately finely glandular-hairy. Leaves elliptic to narrow-oblong, 0.2–1.1 cm long, 1–3 mm wide, base cuneate, margins more or less entire, sessile. Flowers single in bract axils; bracteoles 0.5–4 mm long. Sepals 3–5 mm long; corolla 7–12 mm long, tube green-yellow, dark-striped, the lobes pink or whitish; staminodes usually 2. Capsule broad-ovoid, 3.5–5 mm long; style c. 2–2.5 mm long. Flowers summer.","prostrate mat-forming perennial, rooting at nodes, with sessile glands obscure or sporadically with golden heads, otherwise mainly on the rachis; pedicels and sepals glabrous or sparsely to moderately finely glandular-hairy. leaves elliptic to narrow-oblong, 0.2–1.1 cm long, 1–3 mm wide, base cuneate, margins more or less entire, sessile. flowers single in bract axils; bracteoles 0.5–4 mm long. sepals 3–5 mm long; corolla 7–12 mm long, tube green-yellow, dark-striped, the lobes pink or whitish; staminodes usually 2. capsule broad-ovoid, 3.5–5 mm long; style circa 2–2.5 mm long. flowers summer.","prostrate mat-forming perennial, rooting at nodes, with sessile glands obscure or sporadically with golden heads, otherwise mainly on the rachis;",,"leaves elliptic to narrow-oblong, 0.2–1.1 cm long, 1–3 mm wide, base cuneate, margins more or less entire, sessile.","pedicels and sepals glabrous or sparsely to moderately finely glandular-hairy. flowers single in bract axils; bracteoles 0.5–4 mm long. sepals 3–5 mm long; corolla 7–12 mm long, tube green-yellow, dark-striped, the lobes pink or whitish; staminodes usually 2. style circa 2–2.5 mm long. flowers summer.","capsule broad-ovoid, 3.5–5 mm long;",,
"Nitraria","Perennial shrubs, often spiny and pubescent. Leaves alternate and spirally arranged or clustered, simple, fleshy, more or less sessile; stipules small, often caducous. Inflorescences terminal, of loose branched dichasial cymes. Flowers bisexual or often functionally unisexual, shortly pedicellate; sepals 5, connate at base, persistent in fruit; petals 5, hooded, induplicate-valvate, yellow (not in Victoria) or white; stamens 10–15, 5 opposite sepals, 1 or 2 whorls of 5 opposite petals, lacking appendages, anthers more or less basifixed; ovary 3-celled, free, sessile, ovules 1 per cell, pendulous, style short and thick, stigma 3-partite. Fruit an ovoid drupe with a fleshy exocarp and a pitted and furrowed bony endocarp; seed 1 by abortion, without endosperm.","perennial shrubs, often spiny and pubescent. leaves alternate and spirally arranged or clustered, simple, fleshy, more or less sessile; stipules small, often caducous. inflorescences terminal, of loose branched dichasial cymes. flowers bisexual or often functionally unisexual, shortly pedicellate; sepals 5, connate at base, persistent in fruit; petals 5, hooded, induplicate-valvate, yellow (not in victoria) or white; stamens 10–15, 5 opposite sepals, 1 or 2 whorls of 5 opposite petals, lacking appendages, anthers more or less basifixed; ovary 3-celled, free, sessile, ovules 1 per cell, pendulous, style short and thick, stigma 3-partite. fruit an ovoid drupe with a fleshy exocarp and a pitted and furrowed bony endocarp; seed 1 by abortion, without endosperm.","perennial shrubs, often spiny and pubescent.","stipules small, often caducous.","leaves alternate and spirally arranged or clustered, simple, fleshy, more or less sessile;","inflorescences terminal, of loose branched dichasial cymes. flowers bisexual or often functionally unisexual, shortly pedicellate; sepals 5, connate at base, persistent in fruit; petals 5, hooded, induplicate-valvate, yellow (not in victoria) or white; stamens 10–15, 5 opposite sepals, 1 or 2 whorls of 5 opposite petals, lacking appendages, anthers more or less basifixed; ovary 3-celled, free, sessile, ovules 1 per cell, pendulous, style short and thick, stigma 3-partite.","fruit an ovoid drupe with a fleshy exocarp and a pitted and furrowed bony endocarp;","seed 1 by abortion, without endosperm.",
"Diuris daltonii","Flowering plant usually 25–50 cm tall, slender to moderately stout. Leaves 1–4, usually 2, linear, channelled, 15–25 cm long. Flowers 1–7, erect, dark purple, often with darker suffusions, sometimes fragrant; pedicel (excluding ovary) 2–5 cm long, mostly enclosed within bract; dorsal sepal erect, broadly ovate, 12–17 mm long; lateral sepals deflexed, usually parallel, narrow-linear, greatly exceeding petals, 30–60 mm long; petals obliquely erect, ovate to elliptic, distinctly clawed, 12–25 mm long, claw often with a short spur-like apical lobe. Labellum 3-lobed from base, 10–16 mm long; lateral lobes erect, less than half as long as mid-lobe, oblong, margins entire; mid-lobe keeled, long-clawed, broadly fan-shaped, margins irregular, with 2 longitudinal, divergent, yellow ridges from the base ending in tooth-like processes around midway along lamina. Column narrowly winged. Flowers Oct.-Dec.","floweringplant usually 25–50 cm tall, slender to moderately stout. leaves 1–4, usually 2, linear, channelled, 15–25 cm long. flowers 1–7, erect, dark purple, often with darker suffusions, sometimes fragrant; pedicel (excluding ovary) 2–5 cm long, mostly enclosed within bract; dorsal sepal erect, broadly ovate, 12–17 mm long; lateral sepals deflexed, usually parallel, narrow-linear, greatly exceeding petals, 30–60 mm long; petals obliquely erect, ovate to elliptic, distinctly clawed, 12–25 mm long, claw often with a short spur-like apical lobe. labellum 3-lobed from base, 10–16 mm long; lateral lobes erect, less than half as long as mid-lobe, oblong, margins entire; mid-lobe keeled, long-clawed, broadly fan-shaped, margins irregular, with 2 longitudinal, divergent, yellow ridges from the base ending in tooth-like processes around midway along lamina. column narrowly winged. flowers oct.-dec.","floweringplant usually 25–50 cm tall, slender to moderately stout.",,"leaves 1–4, usually 2, linear, channelled, 15–25 cm long. mid-lobe keeled, long-clawed, broadly fan-shaped, margins irregular, with 2 longitudinal, divergent, yellow ridges from the base ending in tooth-like processes around midway along lamina. column narrowly winged.","flowers 1–7, erect, dark purple, often with darker suffusions, sometimes fragrant; pedicel (excluding ovary) 2–5 cm long, mostly enclosed within bract; dorsal sepal erect, broadly ovate, 12–17 mm long; lateral sepals deflexed, usually parallel, narrow-linear, greatly exceeding petals, 30–60 mm long; petals obliquely erect, ovate to elliptic, distinctly clawed, 12–25 mm long, claw often with a short spur-like apical lobe. labellum 3-lobed from base, 10–16 mm long; lateral lobes erect, less than half as long as mid-lobe, oblong, margins entire; flowers oct.-dec.",,,
"Hainardia","Annuals. Leaves flat or convolute; ligule membranous. Inflorescence a slender spike, disarticulating below each spikelet at maturity. Spikelets 1(–2)-flowered, sunk in recesses along rachis; glumes 1 (in all but the terminal spikelet which has 2), enclosing the recesses except at anthesis, strongly veined, firm; lemma membranous, shorter than glume, inserted against the rachis (i.e. palea between lemma and glume), 3-nerved, the lateral nerves short.","annuals. leaves flat or convolute; ligule membranous. inflorescence a slender spike, disarticulating below each spikelet at maturity. spikelets 1(–2)-flowered, sunk in recesses along rachis; glumes 1 (in all but the terminal spikelet which has 2), enclosing the recesses except at anthesis, strongly veined, firm; lemma membranous, shorter than glume, inserted against the rachis (i e palea between lemma and glume), 3-nerved, the lateral nerves short.","annuals.",,"leaves flat or convolute; ligule membranous.","inflorescence a slender spike, disarticulating below each spikelet at maturity. spikelets 1(–2)-flowered, sunk in recesses along rachis; glumes 1 (in all but the terminal spikelet which has 2), enclosing the recesses except at anthesis, strongly veined, firm;","lemma membranous, shorter than glume, inserted against the rachis (i e palea between lemma and glume), 3-nerved, the lateral nerves short.",,
"Eucalyptus wimmerensis","Mallee differing from E. viridis in the mostly smooth bark, larger grey to blue-green juvenile leaves (to 1.8 cm wide) that are subsessile to shortly petoleate, larger olive-green to blue-green adult leaves (to 2 cm wide), larger buds and larger, slightly angled fruit (to 0.7 cm long and diam.). Flowers summer to late autumn.","mallee differing from viridis in the mostly smooth bark, larger grey to blue-green juvenile leaves (to 1.8 cm wide) that are subsessile to shortly petoleate, larger olive-green to blue-green adult leaves (to 2 cm wide), larger buds and larger, slightly angled fruit (to 0.7 cm long and diam.). flowers summer to late autumn.","mallee differing from viridis in the mostly smooth bark, larger grey to blue-green juvenile leaves (to 1.8 cm wide) that are subsessile to shortly petoleate, larger olive-green to blue-green adult leaves (to 2 cm wide), larger buds and larger, slightly angled fruit (to 0.7 cm long and diam.).",,,"flowers summer to late autumn.",,,
