taxon_name,description
Atalaya multiflora,"Tree to 25 m high, glabrous except inflorescence; branchlets lenticellate. Leaves paripinnate; rachis 1-2.5 cm long; leaflets usually 1 or 2 pairs; lamina oblong or obovate-elliptic, truncate or retuse, 4-9.5 cm long, 1.5-4.5 cm wide; cuneate or acute, or obtuse at base; lateral veins oblique, raised and prominent especially below; petiolule 2-6 mm long; petiole 1-4.5 cm long. Panicles many-flowered, to 17 cm long; pedicels 5-6 mm long. Sepals 3-3.5 mm long, 2-5 mm wide, thin, silky outside. Petals 4, obovate, c. 6 mm long, c. 3 mm wide, glabrous or puberulous on claw; scales densely hairy, crested. Disc unilateral. Samaras to 3.5 cm long, glabrous; wings divaricate."
Xanthorrhoea latifolia,"Trunk none or up to 3.6 m long; stem branched or single; crowns 1 to many, each with spreading mature leaves; young leaves in ±erect tuft. Leaves narrowly transverse-rhombic to very depressed-cuneate in T.S., 2.4-10 mm wide, 0.7-3.5 mm thick, bright-green, not glaucous. Scape 75-210 cm long, 7-20 mm diam. Spike shorter than or almost equal to scape, 30-150 cm long, 18-41 mm diam. Cluster-bracts obscure. Packing-bracts obtuse, shortly acute to acute, glabrous to fringed with hairs, sometimes abaxially hirsute. Sepals shortly acute to acute, without proboscis, with short beak and median abaxial ridge, subglabrous to slightly hirsute. Petals recurved, with proboscis, glabrous except at apex."
Deyeuxia frigida,"Slender to moderately robust perennial, loosely caespitose. Culms erect to ascending, to 100 (-150) cm high, unbranched above, 5 or 6-noded. Leaves mostly basal; basal sheaths glabrous to scabrous or hirsute; ligule to c. 4 mm long, obtuse or truncate; blade ±flat, to 20 cm long, 1.5-6 mm wide, scabrous. Panicles narrowly to broadly ovate, open, 8-30 cm long, green to purple. Spikelets 4-5.5 (-7) mm long; pedicel 1-6 mm long; rachilla prolonged by 0.6-1 mm, glabrous to pilose. Glumes subequal to unequal, the upper to 1.5 (-3) mm longer than lower, both longer than lemma, acute. Callus with rather sparse hairs to c. 1 mm long. Lemma lanceolate, 3-4.5 mm long, narrowly truncate or acute, shortly dentate or entire, awned (but awn often deciduous), indurated, 5-nerved, scabrous overall; awn c. as long as body of lemma, arising from about middle of lemma, geniculate, with column slightly twisted. Anthers 1.5-2 mm long."
Montanoa bipinnatifida,"Large shrubs, erect, soft-wooded, 2-3 m tall. Leaves: petiole 4-20 cm long, usually with 2 stipule-like lobes at base; lamina ±ovate to oblong in outline, pinnatifid to bipinnatifid, 12-32 cm long, 9-40 cm wide, decurrent or slightly lobed at base, dark green, sparsely pubescent, with hairs more frequent along veins; lobes oblong to ±lanceolate. Capitula pendulous, several-many in compound oppositely-branched corymbs; peduncles 2-7 (-9) cm long, hairy; involucral bracts biseriate, reflexed in fruit, pilose; paleae ovate, 1 mm long, with long acuminate apex 1-2 mm long, pilose, accrescent and shed with achenes. Ray florets 10-12; ligules 25-35 mm long. Disc florets 95-125, 4-6 mm long, pilose, green turning yellow with age. Achenes 3.5 mm long, 2 mm wide."
Acronychia pubescens,"Shrub, or tree to 15 m high. Internodes of young branchlets terete or slightly compressed. Leaves trifoliolate or mostly so or rarely exclusively simple; petiole 0.8-8.5 cm long, nearly glabrous to tomentose; laminae elliptic to obovate, or narrowly so, 5-26 cm long, 1.8-7.7 cm wide, acuminate with acumen to 2.3 cm long or occasionally obtuse, sparsely to densely pubescent below or sometimes glabrous. Inflorescences few-many-flowered, axillary, 2.5-6.5 cm long; pedicels 1-4.5 mm long (length similar in fruit), tomentose or rarely pubescent. Flower buds obtuse. Sepals 1.5-2.5 mm wide, glabrous adaxially. Petals 6-9 mm long, like staminal filaments subpersistent in fruit. Gynoecium syncarpous, like fruit  4-loculed; ovary pubescent at least towards apex, like fruit with septicidal fissures in distal 1/3-3/4. Fruit syncarpous, ellipsoid to subglobose, 12-18 mm long, without stylar beak, pubescent at least at apex; occasional fruiting carpels with ruptured wall opening into locule; dried fruit as seen in medial transverse section with outer part pericarp less than 0.7 mm thick, exocarp fleshy but mesocarp apparently lacking; endocarp cartilaginous. Seeds 4-4.5 mm long."
Pimelea axiflora,"Shrub or undershrub 0.2-3 m high. Leaves opposite, shortyl petiolate, linear to oblong-elliptic, medium green on adaxial surface, paler abaxially. Inflorescence of axillary, 2-10-flowered clusters; clusters subtended by petiolate bracts and minute sessile bracts below; involucral bracts elliptic or narrowly elliptic, c. 1.5-6 mm long, c. 1-2.5 mm wide, glabrous inside. Flowers glabrous inside, white or whiteish; pedicel hairy. Male flowers: hypanthium 3-6 mm long; sepals 1.5-3 mm long. Female flowers: hypanthium 2-5 mm long, circumscissile above ovary or irregularly splitting lower down, style-portion 0.5-2 mm long; sepals 1-1.8 mm long; ovary distally hairy. Fruit dry, enclosed or with apex protruding."
Calochilus holtzei,"Leaf nearly fully developed at flowering, 300-550 x  10-20 mm, deeply 3-cornered, bright green. Flower stem 500-1,000 mm tall, stout, 8-30-flowered. Flowers lasting 2-3 days, 20-23 x  10-15 mm, pale green to yellowish with red, brown or purple markings and coarse, greenish white to straw-coloured labellum papillae. Dorsal sepal broadly ovate, 7-9 x  5-7 mm, spreading or incurved over column. Lateral sepals ovate-lanceolate, 7-9 x  3.5-5 mm, sometimes almost hidden beneath labellum hairs, divergent, apex sharply pointed. Petals oblong, 5-7 x  3.5-4 mm, spreading or decurved close to lateral sepals, bluntly pointed. Labellum curved in profile, 14-17 x  9-12 mm; basal third with short, appressed, cylindrical, purple papillae flanked by 2 purple ridges; distal two-thirds with spreading, bristly papillae to 5 mm long; apical 3 mm naked, glandular, sometimes tail-like, often recurved and with incurved margins. Column c. 5-6 mm long, no sham eyes or connecting ridge."
Eucalyptus crucis subsp. praecipua,"Mallee to 15 m tall. Forming a lignotuber. Bark thick, rough, densely and closely fibrous on most of trunk and larger branches, minnirichi only on smaller branches, green-fawn over rich red-brown. Branchlets glaucous; lacking oil glands in the pith. Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section, glaucous; juvenile leaves sessile, opposite, usually orbicular or wider than long, 1.7-5.5 cm long, 2.3-6.5 cm wide, amplexicaul, usually glaucous.Crown entirely of adult leaves, petioles 0.4-1.5 cm long; blade narrowly lanceolate to narrowly elliptical, 6-10(15) cm long, (0.5)0.7-1.2(2.5) cm wide, base tapering to petiole, margin entire, apex pointed, concolorous, grey-green or slightly glaucous, side-veins greater than 45° to midrib, reticulation dense, intramarginal vein absent or close to margin, oil glands intersectional, large, scattered.Inflorescence axillary unbranched, peduncles slender, 0.5-2.5 cm long, buds 7 per umbel, pedicels 0.6-1 cm long. Mature buds ovoid to slightly elongate-globular (1.1-1.3 cm long, 0.8-1.1 cm wide, glaucous to pinkish, scar present, operculum obtusely conical to rounded (0.6-0.8 cm long), stamens oblique (a few inner stamens may be terminally deflexed), anthers versatile, sub-basifixed, dehiscing by longitudinal slits, style long and straight, stigma rounded to blunt, locules 4 or 5(6), the placentae each with 4 vertical rows of ovules with a conspicuous longitudinal median gap. Flowers whitish to pale yellow.Fruit pedicellate (pedicels 0.7-1.4 cm long), broadly obconical to hemispherical, 0.6-1 cm long, 1-1.5 cm wide, glaucous or non-glaucous, disc slightly raised or level, valves 4 or 5(6), exserted.Seeds dark grey-brown, 1-2 mm long, ovoid to slightly flattened-ovoid, scarcely ridged, dorsal surface scarcely reticulate, hilum ventral.Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems rounded in cross-section, glaucous, smooth or slightly warty; leaves sessile, opposite, orbicular or wider than long, 2.5-4.5 cm long, 2-5 cm wide, base amplexicaul, apex rounded and mucronate to pointed, glaucous or sometimes grey-green."
Acacia sphacelata,"Harsh shrub 0.2-1.5 m high. Bark light grey to mid-grey. Branchlets rigid, glabrous or minutely hairy. Stipules persistent or caducous, 1-2 mm long. Phyllodes ±sessile, scattered, verticillate or subverticillate, ±patent, linear or linear-lanceolate, straight to shallowly curved, terete or quadrangular or flat, 6-25 mm long, 0.6-2 mm wide, pungent, rigid, green, smooth, glabrous or nerves ±sparsely puberulous, 5-nerved but the 2 adaxial nerves coalescing at the ±obscure gland, 1-nerved per face when flat. Inflorescences simple, mostly 1 per axil; peduncles 3-13 mm long, glabrous; heads showy, globular, 13-50-flowered, bright golden. Flowers 5-merous; sepals free, spathulate, dark brown at apex. Pods narrowly oblong to linear, to 4 cm long, 2.5-7 mm wide, firmly chartaceous to somewhat crustaceous, glabrous. Seeds longitudinal, 2.5-5 mm long, dark brown to black, arillate."
Xanthorrhoea media,"Trunk none or up to 30 cm long; stem and crown usually 1, ±hemispherical. Leaves transverse-rhombic in T.S., 2-2.8 mm wide, 1.1-1.5 mm thick, mid to dark green, not glaucous. Scape 100-180 cm long, rarely to 210 cm, 7-11 mm diam. Spike less than 1/2, rarely equal to or slightly longer than scape, 35-90 cm long, 20-27 mm diam. Cluster-bracts almost obscure, sometimes at base only, shortly acute to narrowly triangular, abaxially hirsute. Packing-bracts shortly acute to acute, glabrous to moderately hirsute. Sepals shortly acute to acute, with short beak and median abaxial ridge, without proboscis, subglabrous to slightly abaxially hirsute. Petals recurved, sometimes with proboscis, glabrous except hairs at apex."
Albuca,"Perennial herbs with bulbs. Leaves radical, flat or terete, sheathing at base. Inflorescence a scapose bracteate raceme. Flowers bisexual, pedicellate, erect or nodding. Perianth segments 6, dimorphic, free; sepals spreading; petals connivent around androecium and gynoecium, glandular at tip. Stamens 3, or 6 in 2 whorls; outer whorl fertile, sterile, reduced or absent; filaments often winged or dilated at base; anthers versatile, dehiscing by slits, introrse. Ovary superior, trilocular; ovules numerous per locule; placentation axile; style usually obconical; stigma 3-lobed. Fruit usually a loculicidal capsule. Seeds numerous, flat, black."
Cupaniopsis serrata,"Tree to 12 m high. Branches, leaf axes and peduncles with spreading and appressed hairs; branchlets and petioles lenticellate. Leaf rachis 4.5-14.5 cm long; leaflets 6-12; lamina oblong to ovate, acuminate, cuspidate, serrate or serrulate, obtuse to acute at base, 6-12.5 cm long, 2.5 cm wide, glabrous or lower surface puberulous, ± rigid, strongly veined and reticulate below; petiolule 1-5 mm long; petiole 4-7.5 cm long. Inflorescence raceme-like or 1- or 2-branched, 1-6.5 cm long; cymules and flowers ± sessile. Calyx lobes to 5 mm long, pubescent. Petals ovate, 2.5 mm long, white. Fruit sessile, subglobose, apiculate, 1.2-1.6 cm long, 2.5-2.8 cm diam., brown velvety; valves fairly thin, silky inside, drying slightly wrinkled. Seed nearly enclosed in orange aril."
Paraprasophyllum uvidulum,"Plants 200-350mm tall. Free part of leaf to 200 x 3-5mm. Spike 80-120mm long, 12-25-flowered. Ovary sessile, green with reddish ridges. Flowers moderately crowded, lightly scented, 10-12 x 7-10mm, light green with red to reddish markings, petals with pale margins, labellum white, pinkish or mauve, callus yellowish to green. Dorsal sepal 6.5-8.5 x 3-3.5mm, recurved. Lateral sepals free, 8-9 x 1.8mm, parallel, recurved. Petals 6.5-7 x 1.5mm, incurved to spreading. Labellum sessile, ovate-lanceolate, 6-7 x 4-4.5mm, broadest below middle, sharply recurved near middle and tapered to apex, margins mostly entire. Callus oblong, flat, deeply grooved, margins lobed, extending just beyond labellum bend then narrowed and indistinct to near labellum apex."
Enteropogon dolichostachyus,"Robust, tussock-forming. Flowering culms 75-94 cm high, branched. Leaves cauline; basal sheaths apically carinate, loose; orifice bearded, with stiff hairs 2-4 mm long; external ligule absent; blade flat, involute or convolute, 8-28 cm long, 2.5-7 mm wide. Inflorescences of 2-4 (-7) digitately arranged branches or rarely a single spike; branches 6.5-15 (-20) cm long, usually rigid. Glumes: lower glume 1.5-3 mm long, muticous or aristulate; upper glume 3-6.5 mm long, aristulate or with awn 0.2-1.1 mm long. Callus 0.4-0.7 mm long. Basal lemma narrowly oblong to elliptic, 3.5-5.2 mm long, acuminate, entire or notched, membranous, smooth to scabrous; awn filiform, much longer than lemma body, 7-15 mm long. Basal palea acuminate or acute."
Cordyline,"Erect or sprawling glabrous shrubs to 5 m high; stems woody with annular scars when young. Leaves crowded on tips of branches, narrowed into a petiole or not; base of petiole widened into a sheath. Inflorescence a terminal or lateral panicle. Flowers bisexual, regular. Sepals and petals united at base. Stamens 6; anthers medifixed; filaments inserted at base of perianth. Ovary superior; stigma capitate or 3-lobed; ovules 2-16 in each locule. Fruit a berry. Seeds black, shining."
Cylindropuntia prolifera,"Low spreading, many-branched shrub 0.4-1 (-2) m high, to 3 m diam., large plants producing a trunk to 60 cm high. Stem segments whorled or subwhorled, cylindric, 4-15 cm long, 4-5 cm diam., tuberculate, glabrous, dull green to grey-green, terminal segments readily detached; tubercles broadly oval,  prominent, rounded, 10-20 mm long, 4-6 mm wide, projecting 4-5 mm. Areoles apical on tubercles, subcircular to obovate, 3-7 mm long, typically 5-9 mm apart, raised, filled with tan wool, and glochids, ageing grey to black. Leaves succulent, terete, tapering to apex, 2-3 mm long. Spines 7-11 per areole, spreading, 10-30 mm long, c. 0.5 mm wide at base; spine sheaths tightly fitting, white to pale tan, glossy. Glochids in a dense adaxial tuft, 2.5-3.5 mm long, light to dark brown. Flowers 25-30 mm diam.; outer tepals reduced, fleshy, green with thulian pink to magenta margins, almost square or slightly broader than long, to 6 mm long; inner tepals thulian pink to magenta, yellowish green near base, narrowly spathulate or narrowly obovate, 12-15 mm long, 6-7 mm wide, the apex obtuse with a short mucro. Staminal filaments thulian pink to magenta above, green below, anthers golden yellow. Style thick, thulian pink or pale yellow and thulian pink near stigma lobes; stigma lobes pale yellow. Pericarpel tuberculate, spiny or spineless. Fruit often proliferating into chains of 3-9 fruits, broadly ovoid to globose, (20€”) 25€”40 mm long, 20-30 mm diam., the umbilicus usually shallow, weakly tuberculate, with scattered weak spines when immature, fleshy, green at maturity, indehiscent; areoles (20-)25-35. Seeds not seen."
Senecio leucoglossus,"Herbs to c. 1 m high, ± glabrous. Leaves to c. 10 cm long, with l:w ratio c. 2-3, coarsely dentate to pinnatisect, with 2-5 projections per side; base with well-developed auricles. Capitula several to many per stem; calycular bracteoles 2-4, 1 mm long; involucre c. 3.5 mm long, 1.2-1.5 mm diam.; bracts 7-9. Florets 9-13; ligulate florets 1-3, with ligules 4 mm long, white, sometimes tinged pink. Achenes 1.5 mm long, with papillose hairs in bands. Pappus c. 3 mm long."
Grevillea juniperina subsp. amphitricha,"Prostrate to sprawling shrub 0.2-1.2 m tall, to 3 m wide; branches ascending to spreading, not divaricate, not appearing columnar, the leaves occasionally in short clusters. Adult leaves light- to mid-green, sublinear to narrowly elliptic, 8-18 mm long, 1.0-2.5 (-3.5) mm wide; upper surface convex, with venation often obscure with only the midvein evident and scarcely prominent; margins smoothly recurved to revolute; lower surface usually partially exposed, densely subsericeous; juvenile leaves shorter (1/3 to 1/2 length), proportionately wider, and flatter than adult leaves. Flower colour: perianth dull pale yellow to apricot-orange (rarely red), with gold or brownish hairs especially on limb; style dull yellow (rarely red) with greenish style-end. Perianth densely to openly subsericeous with biramous hairs, and a few to many minute erect simple multicellular hairs scattered through. Pistil 20-25 mm long."
Acacia obtusata,"Spindly shrub rarely exceeding 2.5 m high. Branchlets dark reddish, glabrous. Phyllodes oblanceolate to narrowly oblong-oblanceolate, sometimes ±narrowly elliptic, straight to shallowly incurved, 4-11 cm long, 5-16 mm wide, narrowed at base, obtuse, sometimes ±acute, coriaceous, lightly glaucous, glabrous; midrib and marginal veins rather prominent; lateral veins obscure; gland 0.5-4 cm above pulvinus, sometimes ±touching midrib or connected to it by a fine oblique nerve; margin often indented at gland. Inflorescences 5-14-headed racemes; raceme axes 1.5-4.5 cm long, glabrous; peduncles 3-6 mm long, substout, glabrous; heads globular, subdensely 15-27-flowered, golden; bracteole laminae transversely elliptic, dark brown, densely white-fimbriolate. Flowers 5-merous; sepals c. …š-united; petals 1-veined. Pods to 10 cm long, 7-12 mm wide, chartaceous, blackish, glabrous. Seeds longitudinal, oblong to elliptic, 5 mm long, ±dull, black; aril clavate."
Gyrostemonaceae,"Short-lived trees or shrubs, or annuals, dioecious or monoecious, glabrous or papillose, soft-wooded. Branchlets often orange, brown or red. Leaves alternate, simple, entire, sessile or petiolate, often succulent; stipules small. Flowers small, actinomorphic or almost so, solitary, or in racemes or panicles, axillary or terminal. Calyx broadly cupular, lobed or entire, persistent, the lobes imbricate in bud. Corolla absent. Male flower: stamens 7-100, in one or several concentric series, when uniseriate with a central disc; anthers almost sessile, quadrangular, 2-locular, opening widely by longitudinal slits. Female flower: carpels 2 to many, either connate around a central column, or fused, sometimes solitary; ovules 1 per carpel, campylotropous; placentation axile; stigmas 1 per carpel, free or shortly united with each other, rarely divided. Fruit a dry or succulent schizocarp, a hard achene or a syncarp; carpels often falling before shedding seeds. Seeds U-shaped, usually rugose, red-brown; aril prominent, translucent; embryo strongly curved; endosperm present."
Grammitis garrettii,"Rhizome erect to long-creeping. Fronds 1-3 mm apart. Stipe sometimes absent, glabrous. Lamina (1.9-) 2.3-5.4 (-7.7) cm long, 3-5 (-7) mm wide, thinly coriaceous to coriaceous; hairs pale to medium red-brown, simple, 0.5-1.2 mm long, eglandular, sometimes on margins, especially near base of frond and abaxially on midvein and lamina, with medium to dark brown 1-4-forked hairs 0.2-0.7 mm long on margins and abaxially on midvein and lamina; veins sometimes visible in transmitted light, without hydathodes. Sori broadly elliptic to narrowly oblong, 1-11 pairs in distal one-fifth to two-thirds of lamina. Sporangia glabrous; thickened annulus cells 9-13. Spores 35-42 (-46) µm diam."
Persoonia micranthera,"Decumbent to prostrate shrubs 10-40 cm tall. Hairs greyish to tawny, appressed to patent. Young branchlets moderately hairy. Leaves spathulate to obovate to oblanceolate, 4-8 cm long, 8-30 mm wide, flat, with slightly recurved margins, spreading to erect, straight, twisted through 0-90°, innocuous, not glaucous, sparsely to moderately hairy when immature, glabrescent, smooth. Inflorescence anauxotelic, 4-15-flowered; rachis 1-6 cm long. Pedicels 2.5-8 mm long, erect to spreading, moderately hairy. Tepals 10.5-14 mm long, acute, moderately hairy on outside. Anther appendage obtuse, 0.2-0.3 mm long."
Eucalyptus cinerea,"Tree to 16 m. Bark rough, fibrous, red-brown on trunk and larger branches, then smooth and brown-red or grey above, or sometimes rough throughout. Juvenile leaves opposite, sessile or shortly petiolate, amplexicaul, orbicular to cordate, glaucous, slightly discolorous. Intermediate leaves opposite, sessile or shortly petiolate, sometimes amplexicaul, ±cordate or broadly ovate, glaucous or almost green. Juvenile or intermediate leaves usually persist on adult trees. Adult leaves alternate, broadly lanceolate, acuminate, thick; lamina 7.5-11.5 cm long, 1.5-2.5 cm wide, glaucous, concolorous; lateral veins faint, at 30°-45°; intramarginal vein up to 2 mm from margin; petiole flattened, 5-11 mm long. Umbels 3-flowered; peduncle terete, 2-6 mm long; pedicels absent. Buds fusiform, glaucous; operculum conical, 2-3 mm long, 4-5 mm wide; hypanthium obconical, 3-4 mm long, 4-5 mm wide. Fruits obconical to hemispherical, 5-8 mm long, 5-9 mm wide; disc broad, level or ascending; valves 3-5, slightly exserted."
Acacia perangusta,"Bushy shrub or tree to c. 7 m high. Branchlets slender, angled at extremities, dark reddish, glabrous. Phyllodes narrowly linear, 4-8 cm long, 1-1.6 mm wide, acute, occasionally obtuse-mucronate, thin, glabrous; midrib fine; lateral nerves absent or few and obscure; gland 7-17 mm above pulvinus, small but somewhat prominent and exserted, with pore transverse and commonly at distal end of gland. Inflorescences racemose; raceme axes 2.5-4 cm long, slender, glabrous; heads globular, small, 9-12-flowered, commonly lime yellow; peduncles 2-4 mm long, glabrous. Flowers mostly 5-merous; sepals united. Pods (immature) slightly constricted between seeds, convex on opposite sides over alternate seeds, to 7.5 cm long, 5 mm wide, moderately pruinose, glabrous. Seeds longitudinal."
Philotheca conduplicata,"Shrub to 2 m high, glabrous except for flowers. Branchlets almost smooth. Leaves somewhat clustered near stem apices, elliptic, somewhat falcate, 4-7 cm long, 4-14 mm wide, some-what conduplicate when dry, obtuse to acute, smooth. Flowers solitary or in clusters of 2-4; peduncle thick, to 4 mm long; pedicels thick, 2-4 mm long, glandular-verrucose. Sepals broadly triangular with fleshy centre. Petals elliptic-oblong to oblanceolate, 6-11 mm long, 2.5-3.5 mm wide, white, papillose adaxially, glabrous abaxially, with verrucose glands towards apex. Staminal filaments moderately long-ciliate, sparsely pilose at apex. Cocci erect, 7-9 mm long, prominently rostrate."
Rhysotoechia robertsonii,"Tree to 16 m high. Young parts densely rusty villous; branchlets puberulent, minutely lenticellate. Leaf rachis 9-12.5 cm long, dilated; leaflets usually 6-10, elliptic-oblong or subobovate, acuminate or acute, oblique and acute at base, 7-17 cm long, 2.5-5.5 cm wide, glabrous above, puberulous below; lateral veins 12-16 pairs; petiolules long-pulvinate, 2-6 mm long; petiole 2.5-4 cm long. Panicles 14-25 cm long, densely flowered; pedicels 2-4 mm long. Calyx lobes 2-3 mm long. Petals 2 mm long, with thickened basal margins, puberulent inside. Filaments 1-2 mm long. Fruit shortly stipitate, obovoid or subglobose, 1.6-2.8 cm long, 2.2-3.2 cm diam., 3-locular, orange-yellow with red flush; valves reticulate, glandular inside."
Caladenia tensa,"Leaf lanceolate, 60-120 x  10-15 mm. Flower stem 200-300 mm tall, sturdy, 1- or 2-flowered. Flowers 40-50 mm across, green with red central stripes; sepals with moderately thin, yellowish clubs 6-12 x  1.5 mm long; petals lacking clubs. Dorsal sepal erect, 45-55 x  2-3 mm. Lateral sepals stiffly and obliquely decurved, 45-55 x  3-3.5 mm, slightly divergent. Petals decurved, 35-45 x  1.5-2 mm. Labellum delicately hinged, 19-20 x  18-22 mm, base pale green, with prominent white central patch and maroon to dark purple apex; basal margins with 4-6 pairs of thin green comb-teeth to 8 mm long; midlobe margins with 5-10 pairs of short, blunt teeth; tip recurved. Basal calli c. 3.5 mm long. Lamina calli to 2 mm long, slender, red, clubbed, in 4 uncrowded rows onto base of maroon patch. Column incurved, 14-16 x  4-5 mm, translucent with reddish markings: basal glands c. 3.5 mm long, narrowly club-shaped, yellow with a red stalk, shiny."
Freycinetia excelsa,"Dioecious. Stems 6-8 mm diam.; internodes 5-12 mm long. Leaves imbricate; auricles to 3 cm long, sometimes with apical lobe to 5 mm long, membranous, spinulose at least on distal margins, not persistent; blade linear to very narrowly ovate, gradually attenuate, (10-) 15-50 (-73) cm long, 5-12 mm wide, thinly coriaceous; margins often recurved, prickly near base and apex but often otherwise entire; midrib with distant prickles only near apex. Inflorescence with outer bracts leafy, reddish in lower part; inner bracts orange to reddish; innermost bracts narrowly to broadly ovate, to 7 cm long, orange to red or cream. Male spikes 1-3; peduncles c. 2 cm long; fertile portion 2.5-3 cm long; filaments to 1 mm long; anthers c. 0.5 mm long. Female spikes 1-3 (-4); fruiting heads ovoid to ± obloid, 3-6 cm long, 2-3 cm wide; berry 2-4 mm diam., red; stigmas 2-4."
Dendrobium malbrownii,"Stems semi-erect or arching, thin, wiry, 100-300 x  1 mm, crowded, leafy. Leaves linear, 30-60 x  4 mm, dark green, deeply notched. Flower solitary, 6-7 x  7-8 mm, cream with purple and yellow labellum, shiny. Sepals and petals widely spreading. Dorsal sepal 3-3.5 x  2 mm. Lateral sepals 3.5-4 x  4.5 mm. Petals 3 x  1.5 mm. Labellum c. 5 x  2.5 mm; lateral lobes small, rounded; midlobe separated by constriction, with 2 obscure ridges."
Caesalpinia robusta,"Woody vine. Stems dark brown, pubescent or puberulous (including prickles). Leaves: rachis 40-60 cm long, with recurved prickles; pinnae 3-7 pairs; leaflets 4 or 5 (or 6) pairs, ovate-elliptic, 3-7 cm long, 15-25 mm wide, narrowed but acute with short apiculum, discolorous, puberulous on both surfaces. Racemes supra-axillary, recurved; rachis prickly and pubescent; pedicels 5-6 mm long. Sepals 6-8 mm long, tomentose and with knob-like trichomes near base. Petals 8-9 mm long, yellow, mainly glabrous, pubescent towards base. Stamens 6-7 mm long, pink, very hairy; anthers c. 1.2 mm long. Pistil hirsute throughout; stigma much-thickened. Pod broadly obovate, 6-8.5 cm long, 4-5.5 cm wide (fide Cooper & Cooper 2004: 99), prickly, puberulous. Seed 1 or 2, obovoid, c. 22 mm diam., very thick, mottled purple or red and mauve."
Roycea,"Shrubs or perennial herbs, woolly or silky-pubescent when young. Leaves small, opposite or alternate, often fasciculate, entire, sessile, often spurred at base. Flowers inconspicuous, solitary, axillary, sessile, ebracteate, unisexual or bisexual. Perianth ovoid, c. 1 mm high, ± divided into 5 imbricate tepals, not enlarging in fruit. Stamens 5; filaments strap-shaped, united into a narrow disc at base. Ovary ovoid, c. 0.5 mm long, densely pubescent; style short, densely pubescent; stigmas 2 or 3, slender. Ovule erect, campylotropous; funicle arising from a cushion-like placenta. Fruit subglobular, 1-3 mm high, surrounded by perianth at base; pericarp thin, crustaceous. Seed horizontal or oblique; testa thin but slightly leathery; embryo circular surrounding a small central perisperm; radicle enclosed."
Parsonsia longipetiolata,"Tall climber with glabrous twining stems; latex opaque, milky. Juvenile leaves ovate, sinuately 3-lobed. Adult leaves soft, glabrous, evenly green on both surfaces; petiole 15-50 mm long, sometimes ± as long as lamina; lamina ovate, oblong-ovate or ± deltoid, 3.5-8 cm long, 2.5-5 cm wide, cordate or rounded-truncate at base, shortly acuminate at apex; secondary veins 4-6 pairs, distinct. Inflorescences of terminal, compact panicles with 15-60 flowers; axes minutely pubescent; pedicels 2-4.5 mm long. Calyx lobes appressed, ovate-lanceolate, c. 1.8 mm long, sparsely hairy outside. Corolla yellow to greenish; tube cylindrical, c. 1 mm long; lobes widely spreading or recurved, linear, 4-5 mm long, sparsely hairy externally, densely bearded internally in basal third to half, glabrous distally. Anther cone 2.5-3 mm long, partly exserted; filaments almost straight, 2.2-2.5 mm long, slightly hairy; anther tails converging. Nectary scales free, narrow, fleshy, c. 1 mm long. Capsule slender, narrowly terete, 11-15 cm long, 0.5-1.3 cm diam., puberulous."
Dampiera decurrens,"Stiff, robust perennial to 1 m tall, glabrous except flowers; stem with narrow wings. Leaves sessile, ovate to elliptic with broad base, dentate; lamina 12-41 mm long, 5-23 mm wide. Flowers in cymes; inflorescence branches to 3 together, each bearing to 12 flowers, to 6 cm long; pedicel 3.5-5.2 mm long; bracteoles linear-oblong, 3.2-4.7 mm long. Sepals almost obsolete. Corolla to 12 mm long; hairs outside fine, appressed, type iv, grey; wings 3.5-4 mm wide, smaller or obsolete above auricle; calli 2-5 per row. Ovary bilocular, glabrous, 3.5-4 mm long. Fruit not seen."
Eucalyptus gummifera,"Tree to 35 m. Bark tessellated throughout, grey-brown or brown. Juvenile leaves alternate, petiolate, ovate to broadly lanceolate, discolorous, setose. Adult leaves alternate, lanceolate or broadly lanceolate, acuminate, thick; lamina 10-14 cm long, 2-4 cm wide, shining, dark green above, discolorous; lateral veins numerous, faint, at 60°-70°; intramarginal vein c. 1 mm from margin; petiole flattened, 10-23 mm long. Umbels 7-flowered; peduncle flattened or angular, sometimes terete, 17-30 mm long; pedicels 9-14 mm long. Buds obovoid to clavate; operculum hemispherical-conical, apiculate, 2-4 mm long, 6-7 mm wide; hypanthium pyriform, 7-9 mm long, 5-8 mm wide. Fruits urceolate, 15-20 mm long, 11-15 mm wide. Seeds without or with rudimentary marginal wing, red-brown."
