"taxon_name","original_text","text","life_history_a","life_history_f","plant_growth_form_a","plant_growth_form_f","plant_growth_substrate_a","plant_growth_substrate_f","sex_type_a","sex_type_f","stem_growth_habit_a","stem_growth_habit_f"
"Aira caryophyllea","Culms to 40 cm high. Leaves glabrous, minutely scabrous along nerves; blade inrolled, to 8 cm long and 0.5 mm wide; ligule toothed at apex, to 5 mm long. Panicle initially contracted with erect branches, finally open to sparse with spreading branches, to 15 cm long and 12 cm wide. Spikelets 2–3.5 mm long; glumes equal, acute; lemmas (excluding membranous apical lobes) about three-quarters as long as glumes, glabrous except for short callus hairs, minutely scabrous; awn present on both lemmas, inserted about one-third from base, 2.5–4 mm long. Flowers Sep.-Dec.","  ",,,,,,,,,,
"Cyperus pygmaeus","Small, tufted, leafy annual with reddish roots. Culms triquetrous, smooth, 1–20 cm high, to 1.5 mm diam. Leaves not septate-nodulose, usually longer than culms, 1–2 mm wide. Inflorescence densely head-like, 6–18 mm diam.; involucral bracts leaf-like, 5–7 or more, spreading, very much longer than inflorescence, often a few smaller bracts protruding from the head. Spikelets flattened, very numerous per cluster, 3–5 mm long, 1.5–2 mm wide in side view, 8–20-flowered; rachilla not winged, persistent; glumes acute, short-mucronate, with sides 1–2-nerved, white to pale brown with conspicuous green keel, c.2 mm long, c. 0.5 mm wide; stamens 1 or 2; style 2(–3)-fid. Nut dorsally flattened with a flat or concave face against the rachilla, or sometimes trigonous, obovoid to ellipsoid, pale brown, from one-half to one-third as long as glume, 0.8–1 mm long, 0.2–0.5 mm diam. Flowers spring–summer."," small, tufted, leafy annual with reddish roots. ","annual","annual",,,,,,,,
"Maurandya","Scandent or climbing herbaceous annuals or perennials with fibrous roots or tap-roots. Leaves alternate, hastate to broadly sagittate, rarely cordate, glabrous, margins entire or rarely broadly crenate, petiolate; petioles twining. Flowers solitary, axillary, pedicellate. Sepals 5, free, lanceolate; corolla 2-lipped, pink, 5-lobed, upper 2 recurved, lower 3 recurved or projecting forwards, red, blue, blue-violet or violet with whitish base; stamens 4, in pairs of unequal length, included, staminode 1, rudimentary; stigma conical, shallowly grooved. Capsule 2-valved, irregularly ovoid, triangular-ovoid or globose, loculicidal; seeds numerous, winged and minutely tuberculate or not winged and tuberculate to crested."," scandent or climbingherbaceous annuals or perennials with fibrous roots or tap-roots. ","annual perennial","annuals perennials",,,,,,,"climbing","scandent"
"Plectorrhiza tridentata","Leaves 3–13, narrowly elliptic to narrowly oblong-obovate, straight or slightly curved, tapered at both ends, apex acute, 3–10 cm long, 4–10 mm wide. Racemes 1–6, pendulous, 2.5–7 cm long; pedicels (including ovary) 3–6 mm long, subtending bract triangular; flowers 3–8, green and reddish-brown. Sepals and petals oblong, oblong-obovate or elliptic, apex blunt to acuminate, 3–6 mm long, petals slightly narrower than sepals. Labellum 4–5 mm long (including spur), creamy or whitish; lateral lobes triangular or slightly sickle-shaped, directed outward and forward; mid-lobe rounded, c. 1.5 mm long; spur prominent, blunt, deflexed, hollow, 2–3 mm long. Flowers Oct.–Dec.","  ",,,,,,,,,,
"Pinus pinaster","Tree up to 40 m tall. Bark reddish-brown, in plates, deeply fissured. Winter buds 18–25 mm long, not resinous; scales deciduous, fringed and recurved. Leaves in pairs, usually 15–30 cm long, dark green. Female cones 1–3(rarely more) together, sessile, bright-brown, shining, ovoid-conic, 9–25 cm long, usually deciduous; exposed portion of scale angular with prominent conical dorsal protuberance. Seed with a well-developed wing."," tree up to 40 m tall. ",,,"tree","tree",,,,,,
"Eucalyptus globulus subsp. bicostata","Tree to 45 m tall, differing from subsp. globulus in the 3-flowered inflorescences and from subsp. pseudoglobulus in the sessile buds (to 1.7 cm long, 1.3 cm diam.), the placentae with 6(8) vertical rows of ovules, and fruit (to 1.7 cm long, 2 cm diam.), and from both in its non-coastal distribution.  Flowers Jan.–Feb."," tree to 45 m tall, differing from subsp globulus in the 3-flowered inflorescences and from subsp pseudoglobulus in the sessile buds (to 1.7 cm long, 1.3 cm diam.), the placentae with 6(8) vertical rows of ovules, and fruit (to 1.7 cm long, 2 cm diam.), and from both in its  distribution. ",,,"tree","tree",,,,,,
"Lomandra micrantha","Tussocks small. Leaves flat, plano-convex to terete, 20–70 cm long, up to 5 mm wide, red-brown basally; basal sheath gradually tapering distally, usually torn, dark to light brown; apex broadly acute to obtuse. Male and female inflorescences dissimilar, up to 0.3–0.75 times as long as the leaves; axes smooth, slightly scabrid or conspicuously covered with wart-like projections; non-flowering axis hidden or exposed for 0.5–2.5 cm. Male inflorescences branched, 6–27 cm long, c. one- to three-quarters as long as the leaves; flower-bearing axis 3–15 cm long; flowers separate or in pairs. Female inflorescences branched or unbranched, 3–18 cm long; flower-bearing axis 3–5 cm long; flowers separate. Bracts 1–3 mm long, pale brown to translucent. Flowers pedicellate, greenish-yellow to dark red; perianth segments similar, spreading or reflexed at anthesis; male flowers separate or in pairs, 1.5–3 mm long; female flowers separate, 3–5.5 mm long."," tussocks small. ",,,"tussock","tussocks",,,,,"caespitose","tussocks"
"Lysimachia vulgaris var. davurica","Leaves narrowly lanceolate, 3.5–8 cm long, 6–15 mm wide, glabrous on lower surface or minutely glandular-pubescent toward base, wiith hairs c. 0.1 mm long. Flowers Feb.–Mar. (New South Wales specimens)","  ",,,,,,,,,,
"Juncus revolutus","Long-rhizomatous perennial with leafy shoots usually rather distant. Culms erect, 1.5–28 cm high, each with up to c. 7 leaves and 1–4 cataphylls towards the base, rarely also with a cauline leaf, fibrous remains of old cataphylls ± persisting. Leaf-blades solid, longer or shorter than the culms, 0.5–1.3(–2) mm wide, flat or shallowly channelled, at least the midrib raised on the underside, apex acute or obtuse; auricles obtuse, to 0.8 mm long. Inflorescence few flowered, the flowers spaced along the ascending branches, or rarely 2 flowers close together; primary bract leaf-like, ± exceeding the inflorescence; prophylls present. Tepals with a broad green midrib when young, margins membranous, contrasting reddish-brown; outer tepals 4–6 mm long, with strongly incurved (and hooded) acute tips; inner shorter or equal to the outer, acute or obtuse; stamens 6, anthers 1.1–2 mm long. Capsules light brown at maturity, ellipsoid-ovoid, c. 3.8–5 mm long, obtuse or truncate ± with a fragile mucro, shorter than, equal to or slightly exceeding the tepals; seeds c. 0.5–0.7 mm long, slightly asymmetrical with very fine longitudinal and transverse ridges discernible only at high magnification, minutely apiculate at one or both ends. Flowers Oct.–Jan., seeds shed mainly Dec.–Apr."," long-rhizomatous perennial with leafy shoots usually rather distant. ","perennial","perennial",,,,,,,"rhizomatous","rhizomatous"
"Cotoneaster pannosus","Semi-evergreen shrub 1–3.5 m high with arching branches; new growth tomentose. Leaves simple, elliptic, mostly 15–25 mm long, 8–15 mm wide, base cuneate, apex acute or obtuse, mucronate, upper surface green, dull, glabrescent, lower surface paler, white-tomentose; petiole 4–8 mm long; stipules linear-lanceolate, membranous. Inflorescence a 6–20-flowered cluster; pedicels 1–2 mm long, tomentose. Sepals 5, pubescent; petals 5, suborbicular, 3–4 mm long, clawed, white. Pome ovoid to subglobose, 6–7 mm diam., glabrescent, red; seeds 2. Flowers spring–summer."," semi-evergreen shrub 1–3.5 m high with arching branches; new growth tomentose. ",,,"shrub","shrub",,,,,,
"Taraxacum sect. Taraxacum","Leaves lanceolate to oblanceolate, c. 8–30 cm long, arachnoid-hairy to glabrescent; deeply lobed, usually with complex further dissection; petioles winged or unwinged, reddish on one or both sides (but see note below). Scapes to 40 cm long. Capitula 4.5 cm diam. or more; outermost involucral bracts erecto-patent to abruptly reflexed, uniformly or variously oriented in a single capitulum, lanceolate to linear-lanceolate, c. 8–12 mm long (in Victoria), white borders absent or very narrow (less than 0.2 mm wide), not callus-tipped. Marginal ligules far exceeding involucre; pollen usually present; stigmas yellow, yellowish-green or grey. Cypselas turbinate, 3.5–4 mm long, grey-brown to straw-coloured, spinulose at apex, smooth in lower two thirds; cone conical, 0.2–0.5 (–0.8) mm long; beak longer than cypsela body; pappus 5–6 mm long. Flowers Sept.-Apr.","  ",,,,,,,,,,
"Telopea oreades","Slender much-branched shrub or tree to c. 12 m high, rarely taller, glabrous. Leaves narrowly obovate to oblanceolate, 10–30 cm long, 15–60 mm wide, dull dark green, surfaces granular when dried, venation most obvious on lower surface; apex broadly acute; margins entire; petiole 10–25 mm long. Inflorescence a compact, 30–60-flowered raceme or head, to c. 10 cm across; involucral bracts linear or lanceolate, mostly 2–5 cm long, pink, red or greenish, caducous; pedicels 10–20 mm long. Tepals 20–25 mm long, crimson, rarely white, glabrous. Follicle 5–7.5 cm long, excluding the persistent style, leathery, dark brown; seeds 10–16 per follicle, to c. 45 mm long including wing. Flowers Sep.–Dec."," slender much-branched shrub or tree to circa 12 m high, rarely taller, glabrous. ",,,"shrub tree","shrub tree",,,,,,
"Romulea rosea var. reflexa","Leaves up to 1 mm diam., suberect, subterete, with narrow grooves. Scape 3–12 cm long. Flowers 25–38 mm long; perianth tube 3–5 mm long, yellow to orange; lobes (4–)6–10 mm wide, magenta, often violet-blue at throat, outer surface intricately indigo-veined. Stamens 7–12 mm long; stigmas usually not overtopping anthers. Flowers Sept.–Oct.","  ",,,,,,,,,,
"Acacia leprosa var. uninervia","Bushy shrubs 2–5 m high; branchlets with sparse to moderate cover of appressed, minute hairs on ribs. Phyllodes narrowly elliptic, (4–)7–14 cm long, (6–)8–15(–18) mm wide; vein 1, lateral veins fine but obvious and often distally coalescing to form a continuous intra-marginal vein on either side of the mid-vein; gland commonly 2–8 mm above pulvinus. Peduncles 3–5(–7) mm long, moderately to densely puberulous with straight, appressed or subappressed hairs, basal bract early caducous, 1.5–2.5 mm long. Heads mostly 20–35-flowered; bracteoles spathulate, usually c. 1 mm long, equal to sepals, sometimes c. 2 mm long and longer than sepals, acute or short-acuminate. Flowers Aug.–Oct."," bushy shrubs 2–5 m high; ",,,"shrub","shrubs",,,,,"bushy","bushy"
"Acacia euthycarpa","Usually a shrub 2–4 m high; branchlets and new shoots glabrous. Phyllodes narrowly linear to narrowly oblanceolate, mostly 3–10 cm long and 1–5 mm wide, terete to flat, shortly acuminate with delicate, curved points, green to grey-green, glabrous, sometimes scurfy; 1-veined per face when fiat (but 4-veined in all), veins not prominent and often somewhat impressed; gland 5–10 mm above pulvinus. Inflorescences usually racemose, rachis usually 1-4(–40) mm long, glabrous, mostly 2–4(–13)-headed; peduncles 4–10 mm long, glabrous; heads globular to obloid, 25–40-flowered, golden. Flowers 5-merous; sepals free or united. Pods moniliform to linear, normally to c. 15 cm long, 3–6 mm wide, coriaceous to crustaceous, glabrous; seeds longitudinal, oblong-elliptic, 4–8 mm long, dull to slightly shiny, dark brown to black; funicle half to wholly encircling seed, dark reddish, aril clavate. Flowers mostly Aug.–Oct."," usually a shrub 2–4 m high; ",,,"shrub","shrub",,,,,,
"Acacia longifolia subsp. longifolia","Commonly an erect shrub or small tree to 10 m high. Phyllodes 5–20 cm long, 5–15 mm wide, thin, pliable, erect or spreading, mostly dark green. Pods mostly coriaceous and straight. Flowers Jun.–Oct."," commonly an erect shrub or small tree to 10 m high. ",,,"shrub tree","shrub tree",,,,,"erect","erect"
"Euphrasia scabra","Erect annual herb 8.5–50 cm high; branches developed in consecutive nodes, the oldest below inflorescence; branches leaves, bracts and calyces scabrous with coarse short eglandular hairs, with at least the calyx also glandular-hairy. Upper stem leaves ovate to elliptic, usually 6–20 mm long, 1–9.5 mm wide, pinnatifid to serrate-crenate with 1–5 pairs of teeth, base rounded-cuneate to truncate. Calyx 4.3–9 mm long; corolla 8–14 mm long, yellow, not striated; anthers 1.1–1.6 mm long, with area around connectives glabrous or hairy. Capsule 5–9.3 mm long, setose except at base. Flowers Oct.–Feb."," erect annual herb 8.5–50 cm high; ","annual","annual","herb","herb",,,,,"erect","erect"
"Acacia phlebophylla","Erect or spreading shrub to 3 (rarely to 6) m high. Phyllodes oblanceolate, obovate or elliptic, 4–14 cm long, 15–60 mm wide, commonly asymmetric, obtuse, thick-textured; margins uneven and mostly resinous; main veins mostly 3, secondary veins prominent, strongly reticulate; gland small or obscure, 3–9 mm above axil. Spikes 1–2 per axil, to 6 cm long, yellow; rachis glabrous; peduncle c. 5 mm long. Flowers 4-merous, scattered; sepals united, glabrous. Pods subcylindric, 2.5–11.5 cm long, 8–12 mm wide, gently curved; seeds elliptic, 5–7.5 mm long, funicle usually folded 3 times, aril turbinate. Flowers Jun.–Dec."," erect or spreading shrub to 3 (rarely to 6) m high. ",,,"shrub","shrub",,,,,"erect spreading","erect spreading"
"Solanum quadriloculatum","Erect or sprawling shrub to 0.5 m high, grey-green or yellowish green, pubescent with stellate hairs, sometimes scabrous; prickles abundant on branches, but also on petioles, peduncles and calyces. Leaves ovate to elliptic, 5–9 cm long, 1.5–4 cm wide, apex acute or rounded, base truncate, margins entire and often slightly undulate, more or less concolorous, both surfaces densely pubescent; petiole 1–4 cm long. Inflorescences simple, up to 20-flowered; peduncle 15–20 mm long. Flowers on pedicels 5–10 mm long; calyx 6–10 mm long, lobes narrowly triangular, 4–6 mm long; corolla stellate or pentagonal, 20–25 mm diam., purple, lobes acute-tipped; anthers 4–6 mm long. Berry depressed-globose, 10–15 mm diam., light yellow-brown; seeds 2–3 mm long, pale mustard-yellow to light grey. Recorded flowering Jan. and Sep., and fruiting in Jan."," erect or sprawling shrub to 0.5 m high, grey-green or yellowish green, pubescent with stellate hairs, sometimes scabrous; ",,,"shrub","shrub",,,,,"erect sprawling","erect sprawling"
"Corunastylis archeri","Flowering plants 10–20 cm tall. Leaf lamina appressed to peduncle below the lowest flower. Inflorescence 1.5–3 cm long, moderately dense. Flowers 5–15, yellowish green with purplish suffusions and stripes, 4.5–5 mm across, porrect or nodding; perianth segments spreading widely; dorsal sepal ovate, 4–4.5 mm long, c. 2 mm across, margins hairless, entire, apex acuminate; lateral sepals divergent, linear-lanceolate, 5–5.5 mm long, c. 1.5 mm wide, margins hairless, slightly pouched at base; petals ovate, 3–4 mm long, c. 1.5 mm wide, margins hairless, entire. Labellum broadly ovate, 3–3.5 mm long, 1.6–2 mm across, margins with coarse cilia to 1 mm long, apex pointed, recurved; callus narrow-ovate, extending nearly to the labellum apex. Column wings densely scabrous. Flowers Nov.–Mar."," floweringplants 10–20 cm tall. ",,,,,,,,,,
"Hordeum secalinum","Densely tufted or shortly rhizomatous, often glaucous perennial, culms erect to 70 cm high. Leaf-blades flat, 6–15 cm long and 2–4 mm wide, variably covered with fine spreading hairs; sheaths of lower leaves velvety, those of upper leaves glabrous; ligules membranous, c. 1 mm long; auricles not developed. Spike 4–15 cm long. Glumes of spikelets in each triad subulate, subequal or those of the lateral spikelets slightly shorter, 10–20 mm long; lemma of central spikelet scabrous in upper part, 4–8 mm long, with a straight terminal awn shortly exceeding glumes; awn and lemma of sterile lateral spikelets together only about as long as body of central lemma, or sometimes lateral florets barely developed; palea subequal to lemma. Flowers Oct.–Feb."," densely tufted or shortly rhizomatous, often glaucous perennial, culms erect to 70 cm high. ","perennial","perennial",,,,,,,"erect rhizomatous","erect rhizomatous"
"Veronica notabilis","Stoloniferous perennial; flowering stems to 40 cm high, hairs long, soft, spreading or antrorsely curved, cells of the hairs often collapsed. Leaves ovate to narrow-ovate, mostly 3.5–6 cm long, 10–25 mm wide, apex acute, base cuneate, margins with 5–12 pairs of antrorse or spreading teeth; petiole 6–17 mm long. Racemes lateral, mostly 5–17.5 cm long, 10–20-flowered; peduncle 1–7 cm long; bracts 3.5–10 mm long; fruiting pedicels spreading or upcurved, 5–17 mm long. Calyx-lobes 5–7 mm long, 2–2.5 mm wide in fruit, with short curved hairs on margins but usually c. glabrous towards apex; corolla 4–8 mm long, lavender or white with darker veins. Cap-sule obcordate with rounded lobes, 4–5.5 mm long and slightly broader, glabrous, glossy; style c. 3–4.5 mm long. Flowers spring and summer."," stoloniferous perennial; ","perennial","perennial",,,,,,,"stoloniferous","stoloniferous"
"Amphibromus sinuatus","Stoloniferous aquatic perennial; culms decumbent, often only the inflorescence emergent, to 120 cm high overall. Leaves glabrous, scabrous; blade flat, to 17 cm long and 1–4 mm wide; ligule acute, 5–11 mm long. Inflorescence a slender, rather sparse panicle, to 25 cm long. Spikelets 4–6-flowered, 12–19 mm long (excluding awns), green or faintly tinged purple; glumes obtuse to acute, the lower 1–3-nerved, 3–4.5 mm long, the upper 3–5-nerved, 4–6 mm long; lemma 6–8.2 mm long, scabrous along nerves in upper part, otherwise mostly smooth, apical teeth 2 or 4, the outer pair smaller and lower when present, the inner pair 0.3–1 mm long; awn 14–26 mm long, inserted 35–50% of the lemma length from the apex, column and bristle not distinguished; palea slightly shorter than lemma. Flowers Oct.–Mar."," stoloniferous aquatic perennial; ","perennial","perennial",,,"aquatic","aquatic",,,"stoloniferous","stoloniferous"
"Zygophyllaceae","Shrubs, subshrubs or herbs, annual or perennial, mostly xerophytes or halophytes. Leaves opposite, alternate or clustered, simple, bifid, multifid or pinnate, rarely ternate, usually fleshy; stipules usually present. Inflorescences terminal cymes or flowers solitary in leaf axils. Flowers regular, usually bisexual; sepals 4 or 5, imbricate, rarely valvate, often persistent; petals 3–5, imbricate or contorted, rarely valvate; stamens usually 2 or 3 times as many as petals, filaments often with membranous basal appendages, anthers 2-celled, dorsifixed or basifixed, dehiscence latrorse; disc usually present; ovary superior, 3–5(rarely 10–12)-celled, often longitudinally angled or winged, ovules 1–many per cell, axile, pendulous, style simple, stigma capitate or lobed. Fruit a loculicidal and/or septicidal capsule, indehiscent nut, schizocarp (splitting into mericarps) or rarely a drupe, often winged, ridged or with thorns; seeds with or without endosperm."," shrubs, subshrubs or herbs, annual or perennial, mostly xerophytes or halophytes. ","annual perennial","annual perennial","herb subshrub shrub","herbs subshrubs shrubs",,,,,,
"Lepidium foliosum","Perennial shrub usually less than 30 cm high (but reputedly to 90 cm), without hairs, smooth (pedicels sometimes papillose); stems erect. Basal leaves bipinnately lobed; stem leaves spathulate, 0.5–4 cm long, 2–6 mm wide, lobed, broadly toothed or entire, thick to leathery. Inflorescence an elongating raceme (corymbose at first). Sepals c. 1.5 mm long; petals usually ovate, clawed and longer than sepals, white; stamens (5–)6. Fruit elliptic to rhombic, 4.5–6 mm long, 3–3.5 mm wide, wings narrow, forming narrow notch; style c. 0.5 mm long, included or slightly exserted; pedicels 4–6 mm long, sometimes papillose on upper surface. Flowers mostly summer."," perennial shrub usually less than 30 cm high (but reputedly to 90 cm), , smooth (pedicels sometimes papillose); ","perennial","perennial","shrub","shrub",,,,,,
"Atriplex papillata","Procumbent to small shrubby perennial, to c. 20 cm high, monoecious. Leaves sessile, oblong to narrowly ovate, 6–16 mm long, 1–3 mm wide, commonly rather thick and inclined to branch-lets, margins entire or weakly toothed, often incurved, both leaves and branchlets typically covered in dense, scaly grey indumentum. Male flowers in small terminal or upper-axillary clusters, sometimes including a few female flowers at the base, female flowers otherwise in small clusters in lower axils. Fruiting bracteoles sessile, grey, fused to near apex, ovoid, 2–4 mm long, covered near the base or almost throughout with numerous spreading, finger-like appendages to c. 1 mm long, absent from the flat, shallowly 3-lobed apex. Fruits Sep.-Dec."," procumbent to small shrubby perennial, to circa 20 cm high, monoecious. ","perennial","perennial",,,,,"monoecious","monoecious","prostrate","procumbent"
"Potentilla indica","Herb to 30 cm high; runners slender, pilose, rooting at nodes, to c.50 cm long. Leaves basal and alternate along runners, 3-foliolate; leaflets ovate to obovate, terminal leaflet equal or slightly larger than laterals, lamina 15–60 mm long, 10–30 mm wide, glabrous to sparsely pilose on upper surface, sparsely to moderately pilose below especially along veins, margins toothed; petiolules 1–2 mm long; petioles 4–15 cm long, covered in long spreading hairs. Peduncle usually only slightly exceeding leaves, 5–15 cm long. Epicalyx segments obovate, 3–5-toothed at apex, with scattered hairs, deflexed at fruiting, c. 5 mm long; sepals ovate, with long, spreading hairs, 6–10 mm long; petals shallowly emarginate to rounded, 5–8 mm long. Fruiting receptacle red, ovoid, 10–15 mm long; achenes hard. Flowers and fruits Sep.–Mar."," herb to 30 cm high; ",,,"herb","herb",,,,,,
"Sisyrinchium rosulatum","Annual herb, usually densely tufted, but occasionally a single, few-leaved, complantae tuft. Stem unbranched or branched, erect, 2-angled, 5–20 cm high, c. 1–1.5 mm wide. Leaves linear, 2–6 cm long, 1–3 mm wide. Primary bracts ovate to lanceolate; outer primary bract 1.8–3 cm long; inner primary bract 1.5–2.3 cm long. Perianth 5–7 mm diam., colour variable, pale yellow with brown-purple markings in throat, or lilac to mauve with a purple throat throat, yellow within the tube, usually glandular-pilose externally; lobes oblong-acuminate; staminal filaments 1–1.5 mm long, the lower two-thirds united; anthers up to 1 mm long; ovary c. 1 mm diam., usually glandular-pilose. Capsule 2–3(–)4 mm diam., green to reddish; seeds globose, c. 0.7 mm diam., rugose, black. Flowers Oct.–Jan.(–Mar.)."," annual herb, usually densely tufted, but occasionally a single, few-leaved, complantae tuft. ","annual","annual","herb","herb",,,,,"tufted","tuft"
"Picris angustifolia subsp. angustifolia","Cauline leaves few, petiolate below, sessile above. Involucre 3–8 mm diam. at anthesis; involucral bracts with 1–3 lines of hairs along midrib. Ligules 10–17 mm long. Cypselas mostly 6–11 mm long, beak shorter than or as long as body; pappus bristles mostly 7–10 mm long Flowers mostly Sep.–Dec.","  ",,,,,,,,,,
"Olearia phlogopappa subsp. insularis","Bushy shrub to 1.5 m high. Leaves thick-textured, oblong, obovate or narrow-elliptic, 15–43(–70) mm long, 3–10(–15) mm wide; margins crenulate to crenate; upper surface yellowish-green or grey-green, with mid-dense to sparse stellate hairs, sometimes glandular; lower surface cream, white or grey (sometimes yellowish when young), densely stellate-hairy, rarely glandular; petiole 2–5 mm long. Capitula pedunculate, in terminal or subterminal panicles or corymbs. Flowers Oct.–Dec."," bushy shrub to 1.5 m high. ",,,"shrub","shrub",,,,,"bushy","bushy"
"Cordyline","Erect or suberect shrubs; stems woody with annular leaf scars on younger growth. Leaves confined to upper parts of branches, apparently sessile or petiolate with sheathing bases. Inflorescence a terminal or lateral panicle. Flowers bisexual; sepals and petals each 3, similar, shortly united at base; staminal filaments attached at base of perianth segments; ovary superior; stigma capitate or 3-lobed. Fruit a berry; seeds few to many, black and shining."," erect or suberect shrubs; ",,,"shrub","shrubs",,,,,"erect","erect"
"Correa reflexa var. speciosa","Spreading shrub to 1 m high. Leaves somewhat coriaceous, oblong, or more commonly, narrowly ovate to ovate, mostly (6–)10–20(–30) mm long, 4–12 mm wide, apex obtuse, base rounded to slightly cordate, sparsely stellate and scabrous above (rarely glabrescent), sparsely to densely fawn-tomentose beneath, margin minutely undulate and often recurved. Flower erect or pendent, not clasped by subtending leaves; calyx hemispherical, c. truncate, 4-dentate, 3–4 mm long ferruginous-tomentose; corolla c. cylindric, 2.5–4 cm long, entirely brilliant red, or with green tips. Flowers mostly autumn-spring."," spreading shrub to 1 m high. ",,,"shrub","shrub",,,,,"spreading","spreading"
"Cucumis","Monoecious or dioecious, climbing or trailing, annual or perennial (not in Victoria) herbs. Tendrils simple. Leaves simple, lamina toothed to deeply palmately lobed. Male and female flowers solitary or in axillary clusters of few flowers. Calyx and corolla 5-lobed; hypanthium campanulate; stamens 3, inserted in middle of hypanthium, connective with expanded appendages, anthers 3, two 2-locular, one 1-locular, locules flexuose; disc gland-like. Female flowers with 3 staminodes; style inserted in annular disc, stigma 3-lobed; ovary pubescent with many ovules. Fruit ellipsoid or globose, indehiscent, fleshy; seeds many, elliptic, compressed, smooth, pale."," monoecious or dioecious, climbing or trailing, annual or perennial ( victoria) herbs. tendrils simple. ","annual perennial","annual perennial","herb","herbs",,,"dioecious monoecious","dioecious monoecious","prostrate climbing","trailing climbing"
"Grevillea monslacana","Spreading to erect shrub (1–)1.5–3.5 m high, 1.5–3 wide. Branchlets densely tomentose. Leaves entire, narrowly obovate or occasionally narrowly elliptic (20–)30-70(–120) mm long, (4–)8–15(–25) mm wide; upper surface glabrous, or with appressed silvery hairs just above petiole, variably dull or glossy; margins distinctly recurved; lower surface sericeous, lateral veins obscure to evident, reticulum absent. Conflorescences usually terminal, decurved to pendulous, simple to 4-branched. Primary peduncles (0–)4–10(–25) mm long, indumentum tomentose; floral rachises (10–)15–30 mm long. Very early flower buds with the perianth below the limb wholly apricot-coloured or light ferruginous, the limb same colour or brownish grey. Limb of flower buds subglobose in side view, apex obtuse. Limb-segments of tepals (mature pre-anthesis flowers) not keeled or obscurely keeled along external midline. Dorsal tepals 15–22 mm long, 1.9–2.5 mm wide. Perianth outer surface (below limb) ferruginous or tan-coloured, epidermis clearly visible, loosely subsericeous; inner surface densely bearded near base; perianth inner surface pinkish-white or whitish. Pistil (16–)18–20(–23) mm long, ovary stipitate, glabrous, style pink, reddish-pink or rarely whitish; face of pollen strongly oblique to style, convex. Fruits glabrous. Flowering has been recorded primarily Aug.-Jan., but in the absence of snow can occur sporadically throughout the year."," spreading to erect shrub (1–)1.5–3.5 m high, 1.5–3 wide. ",,,"shrub","shrub",,,,,"erect spreading","erect spreading"
"Alhagi maurorum","Erect shrub 30–150 cm tall, rigid, glabrous to pubescent; stems woody at base, branchlets subulate, 1–4 cm long, spiny. Leaves obovate to oblanceolate, 5–30 mm long, 2–14 mm wide, somewhat succulent, glandular above, pubescent below; petiole c. 2 mm long; stipules subulate, c. 2 mm long, caducous. Inflorescences mostly 3–8-flowered; bracts ovate, c. 0.5 mm long, brown; bracteoles oblong, c. 0.5 mm long, brown, pilose. Calyx c. 3 mm long, glabrous or pubescent; calyx teeth small, triangular; corolla 6–12 mm long, pinkish-purple to yellow and red; ovary compressed, 7–8 mm long. Pod red-brown, 8–30 mm long, c. 3 mm wide, constricted between seeds; seeds 1–8, c. 3 mm long, greyish-brown, testa smooth. Flowers Nov.–Feb."," erect shrub 30–150 cm tall, rigid, glabrous to pubescent; ",,,"shrub","shrub",,,,,"erect","erect"
"Eucalyptus ignorabilis","Tree to 20 m tall; bark rough, firm, spongy over whole trunk becoming ribbony on the branches; smooth bark on branches and saplings orange. Juvenile leaves very shortly petiolate, opposite for few nodes, broadly lanceolate to ovate, 4.5–9 cm long, 1.5–3 cm wide, green; adult leaves petiolate, alternate, lanceolate or falcate, 8–18 cm long, 1.5–2 cm wide, concolorous, dull, green to grey-green; reticulation dense, with obscure, scattered oil glands. Inflorescences axillary, unbranched; peduncles to 0.8 cm long, 7-flowered; buds pedicellate, ovoid, to 0.5 cm long, 0.5 cm diam., scar present; operculum conical; stamens inflexed; anthers dorsifixed, cuneate; ovules in 4 vertical rows; flowers white. Fruit pedicellate, cupular to campanulate, to 0.5 cm long, 0.5 cm diam.; disc raised-annular, valves 3, broad, exserted; seed dark brown, flattened-ellipsoid, shallowly reticulate, lacunose, hilum ventral."," tree to 20 m tall; ",,,"tree","tree",,,,,,
"Gentianella polysperes","Plants annual or biennial, usually flowering once (monocarpic); stems c. 10–35 cm high, usually with several, often widely spreading branches (often candelabrum-like); stem-base remaining slender. Basal leaves oblanceolate to spathulate, petiolate, 2–4 cm long, 5–10 mm wide, obtuse to subacute; stem leaves narrow-oblanceolate, sessile to shortly petiolate, 1.5–3 cm long, 3–7 mm wide. Terminal partial inflorescence (1–)5–7(–9)-flowered; pedicels (1–)2–4(–7) cm long, up to 0.8 mm diam. when fresh; calyx-lobes subulate, 5–7(–9) mm long, acute, margins smooth to minutely papillose-serrate; corolla white or cream, veins grey to violet or inconspicuous, tube c. 4 mm long, lobes to 9 mm long; anthers c. 1.5 mm long; ovary c. 8 mm long. Capsule to c. 20 mm long. Flowers Sep.–Dec.(–Jan.)."," plants annual or biennial, usually flowering once (monocarpic); ","annual biennial","annual biennial",,,,,,,,
